"id","text"
"go to products list","aller à la liste des produits"
"add new product","ajouter un nouveau produit"
"add to chart","ajouter au panier"
"my chart","mon panier"
"price","prix"
"this product is not yet associated with any category","Ce produit n'est pas encore associé à une catégorie"
"view my orders","voir mes commandes"
"order status","état de la commande"
"orders status","état des commandes"
"please login to view your orders","veuillez vous connecter pour voir vos commandes"
"notes","notes"
"{sitename} - Order confirmation N.{ordernumber}","{sitename} - Confirmation de commande N.{ordernumber}"
"order summary","récapitulatif de la commande"
"order status updating","mise à jour de l'état de la commande"
"year","année"
"weight","poids"
"width","largeur"
"height","hauteur"
"model","modèle"
"depth","profondeur"
"please complete the shipping information","veuillez compléter les informations de livraison"
"my orders","mes commandes"
"order number","numéro de commande"
"order details","détails de la commande"
"no order","aucune commande"
"your order has been forwarded","votre commande a été envoyée"
"thanks for your order","merci pour votre commande"
"remove from cart","retirer du panier"
"if you are a registered user, login to the site","si vous êtes un utilisateur enregistré, connectez-vous"
"if you are a new customer please complete the form below","si vous êtes un nouveau client, veuillez remplir le formulaire ci-dessous"
"order","commande"
"quantity","quantité"
"content of your cart","contenu de votre panier"
"product added to cart","produit ajouté au panier"
"exceeded the number of available products","le nombre de produits disponibles a été dépassé"
"available","disponible"
"no longer in stock currently","actuellement en rupture de stock"
"total order","Total de la commande"
"decimal separator",","
"thousands separator"," "
"in stock","en stock"
"cart","panier"
"empty cart","panier vide"
"continue","continuer"
"checkout","payer"
"currently not available","actuellement non disponible"
"products","produits"
"catalog","Catalogue"
"orders","Commandes"
"you must accept the terms of purchase","Vous devez accepter les conditions d'achat"
"confirm this order","Confirmer cette commande"
"customer data","Données client"
"authentication failure","Échec de l'authentification"
"complete your purchase","Complétez votre achat"
"operation not allowed","Opération non autorisée"
"level","Niveau"
"group","Groupe"
"your cart is empty","Votre panier est vide"
"new order","Nouvelle commande"
"pick up","Retrait"
"pick up in locker","Retrait en casier"
"the code is not valid","Le code n'est pas valide"
"the code is valid","Le code est valide"
"discount","Réduction"
"enter coupon code if you have one","Entrez le code promo si vous en avez un"
"the entered code will be valid from","Le code saisi sera valide à partir de"
"the code has expired","Le code a expiré"
"the code has been used for the maximum number of times possible","Le code a été utilisé le nombre maximum de fois possible"
"this code is only valid with a minimum spend of 1 euro","Ce code n'est valide qu'avec un achat minimum de 1 euro"
"search","Rechercher"
"password recovery","Récupération de mot de passe"
"Billing_Data","Données de facturation"
"Delivery_address","Adresse de livraison"
"from","à partir de"
"pcs","pcs"
"continue shopping","continuer vos achats"
"back","retour"
"modify","modifier"
"next","suivant"
"username","nom d'utilisateur"
"password","mot de passe"
"required fields","champs obligatoires"
"you skipped some fields or you made some error","vous avez sauté certains champs ou fait une erreur"
"My shopping cart","Mon panier"
"View","Voir"
"Add to cart","Ajouter au panier"
"View my orders","Voir mes commandes"
"Product","Produit"
"Quantity","Quantité"
"Total","Total"
"Code","Code"
