"id","text"
"go to products list","vai alla lista prodotti"
"add new product","aggiungi un nuovo prodotto"
"add to chart","aggiungi al carrello"
"my chart","il mio carrello"
"price","prezzo"
"this product is not yet associated with any category","questo prodotto non è ancora associato a alcuna categoria"
"view my orders","visualizza i miei ordini"
"order status","stato dell'ordine"
"orders status","stato degli ordini"
"notes","note"
"{sitename} - Order confirmation N.{ordernumber}","{sitename} - Conferma ordine N.{ordernumber}"
"order summary","riepilogo ordine"
"order status updating","aggiornamento sullo stato dell'ordine"
"year","anno"
"weight","peso"
"width","larghezza"
"height","altezza"
"model","codice"
"depth","profondità"
"please complete the shipping information","compila i dati per la spedizione"
"my orders","i miei ordini"
"order number","numero ordine"
"order details","dettaglio ordine"
"no order","nessun ordine"
"your order has been forwarded","il tuo ordine è stato inoltrato"
"thanks for your order","grazie per il tuo ordine"
"remove from cart","rimuovi dal carrello"
"if you are a registered user, login to the site","se sei già registrato esegui l'accesso"
"if you are a new customer please complete the form below","se sei un nuovo cliente compila il form sottostante"
"order","ordine"
"quantity","quantità"
"content of your cart","contenuto del tuo carrello"
"product added to cart","prodotto aggiunto al carrello"
"exceeded the number of available products","è stato superato il numero di prodotti disponibili"
"available","disponibili"
"no longer in stock currently","non più disponibile al momento"
"total order","Totale Ordine"
"decimal separator",","
"thousands separator","."
"in stock","disponibile"
"cart","carrello"
"empty cart","carrello vuoto"
"continue","prosegui"
"checkout","vai alla cassa"
"currently not available","attualmente non disponibile"
"products","prodotti"
"catalog","Catalogo"
"orders","Ordini"
"you must accept the terms of purchase","Devi accettare le condizioni di vendita"
"confirm this order","Conferma questo ordine"
"customer data","Dati cliente"
"authentication failure","Errore di autenticazione"
"complete your purchase","Completa il tuo acquisto"
"operation not allowed","Operazione non consentita"
"level","Livello"
"group","Gruppo"
"your cart is empty","Il carrello è vuoto"
"new order","Nuovo ordine"
"pick up","Ritiro"
"pick up in locker","Ritiro in locker"
"the code is not valid","Il codice non è valido"
"the code is valid","Il codice è valido"
"discount","Sconto"
"enter coupon code if you have one","Inserisci il codice coupon se ne hai uno"
"the entered code will be valid from","Il codice inserito sarà valido da"
"the code has expired","Il codice è scaduto"
"the code has been used for the maximum number of times possible","Il codice è stato usato per il numero massimo di volte possibile"
"this code is only valid with a minimum spend of 1 euro","Questo codice è valido solo con una spesa minima di 1 euro"
"search","Cerca"
"password recovery","Recupero password"
"Billing_Data","Dati per la fatturazione"
"Delivery_address","Indirizzo per la spedizione"
"from","da"
"pcs","pz"
"continue shopping","continua con gli acquisti"
"back","indietro"
"modify","modifica"
"next","avanti"
"username","nome utente"
"password","password"
"required fields","campi obbligatori"
"you skipped some fields or you made some error","hai saltato alcuni campi o commesso qualche errore"
"My shopping cart","Il mio carrello"
"View","Visualizza"
"Add to cart","Aggiungi al carrello"
"View my orders","Visualizza i miei ordini"
"Product","Prodotto"
"Quantity","Quantità"
"Total","Totale"
"Code","Codice"
"We will process your order as soon as we receive the payment. Thank you","Non appena riceveremo il pagamento provvederemo all'evasione dell'ordine. Grazie"
"surcharge of","sovrapprezzo di"
"Order tracking","Tracciamento ordine"
"Tracking number","Numero di tracciamento"

