"id","text"
"go to products list","zur Produktliste gehen"
"add new product","neues Produkt hinzufügen"
"add to chart","in den Warenkorb"
"my chart","mein Warenkorb"
"price","Preis"
"this product is not yet associated with any category","Dieses Produkt ist noch keiner Kategorie zugeordnet"
"view my orders","meine Bestellungen anzeigen"
"order status","Bestellstatus"
"orders status","Bestellungen Status"
"notes","Notizen"
"{sitename} - Order confirmation N.{ordernumber}","{sitename} - Bestellbestätigung Nr.{ordernumber}"
"order summary","Bestellübersicht"
"order status updating","Aktualisierung des Bestellstatus"
"year","Jahr"
"weight","Gewicht"
"width","Breite"
"height","Höhe"
"model","Modell"
"depth","Tiefe"
"please complete the shipping information","Bitte vervollständigen Sie die Versandinformationen"
"my orders","meine Bestellungen"
"order number","Bestellnummer"
"order details","Bestelldetails"
"no order","keine Bestellung"
"your order has been forwarded","Ihre Bestellung wurde weitergeleitet"
"thanks for your order","Vielen Dank für Ihre Bestellung"
"remove from cart","aus dem Warenkorb entfernen"
"if you are a registered user, login to the site","Wenn Sie ein registrierter Benutzer sind, melden Sie sich an"
"if you are a new customer please complete the form below","Wenn Sie ein neuer Kunde sind, füllen Sie bitte das folgende Formular aus"
"order","Bestellung"
"quantity","Menge"
"content of your cart","Inhalt Ihres Warenkorbs"
"product added to cart","Produkt in den Warenkorb gelegt"
"exceeded the number of available products","Die Anzahl der verfügbaren Produkte wurde überschritten"
"available","verfügbar"
"no longer in stock currently","derzeit nicht auf Lager"
"total order","Gesamtbestellung"
"decimal separator",","
"thousands separator","."
"in stock","auf Lager"
"cart","Warenkorb"
"empty cart","leerer Warenkorb"
"continue","weiter"
"checkout","zur Kasse"
"currently not available","derzeit nicht verfügbar"
"products","Produkte"
"catalog","Katalog"
"orders","Bestellungen"
"you must accept the terms of purchase","Sie müssen die Kaufbedingungen akzeptieren"
"confirm this order","Diese Bestellung bestätigen"
"customer data","Kundendaten"
"authentication failure","Authentifizierungsfehler"
"complete your purchase","Schließen Sie Ihren Kauf ab"
"operation not allowed","Vorgang nicht erlaubt"
"level","Ebene"
"group","Gruppe"
"your cart is empty","Ihr Warenkorb ist leer"
"new order","Neue Bestellung"
"pick up","Abholung"
"pick up in locker","Abholung im Schließfach"
"the code is not valid","Der Code ist nicht gültig"
"the code is valid","Der Code ist gültig"
"discount","Rabatt"
"enter coupon code if you have one","Geben Sie den Gutscheincode ein, falls vorhanden"
"the entered code will be valid from","Der eingegebene Code ist gültig ab"
"the code has expired","Der Code ist abgelaufen"
"the code has been used for the maximum number of times possible","Der Code wurde die maximal mögliche Anzahl an Malen verwendet"
"this code is only valid with a minimum spend of 1 euro","Dieser Code ist nur bei einem Mindesteinkauf von 1 Euro gültig"
"search","Suchen"
"password recovery","Passwort-Wiederherstellung"
"Billing_Data","Rechnungsdaten"
"Delivery_address","Lieferadresse"
"from","von"
"pcs","Stk"
"continue shopping","weiter einkaufen"
"back","zurück"
"modify","ändern"
"next","weiter"
"username","Benutzername"
"password","Passwort"
"required fields","Pflichtfelder"
"you skipped some fields or you made some error","Sie haben einige Felder übersprungen oder einen Fehler gemacht"
"My shopping cart","Mein Warenkorb"
"View","Ansehen"
"Add to cart","In den Warenkorb"
"View my orders","Meine Bestellungen anzeigen"
"Product","Produkt"
"Quantity","Menge"
"Total","Gesamt"
"Code","Code"
