"id","text"
"go to products list","ir a la lista de productos"
"add new product","agregar nuevo producto"
"add to chart","añadir al carrito"
"my chart","mi carrito"
"price","precio"
"this product is not yet associated with any category","Este producto aún no está asociado a ninguna categoría"
"view my orders","ver mis pedidos"
"order status","estado del pedido"
"orders status","estado de pedidos"
"please login to view your orders","inicie sesión para ver sus pedidos"
"notes","notas"
"{sitename} - Order confirmation N.{ordernumber}","{sitename} - Confirmación de pedido N.{ordernumber}"
"order summary","resumen del pedido"
"order status updating","actualización del estado del pedido"
"year","año"
"weight","peso"
"width","ancho"
"height","altura"
"model","modelo"
"depth","profundidad"
"please complete the shipping information","por favor complete la información de envío"
"my orders","mis pedidos"
"order number","número de pedido"
"order details","detalles del pedido"
"no order","sin pedidos"
"your order has been forwarded","su pedido ha sido enviado"
"thanks for your order","gracias por su pedido"
"remove from cart","eliminar del carrito"
"if you are a registered user, login to the site","si es un usuario registrado, inicie sesión"
"if you are a new customer please complete the form below","si es un nuevo cliente, complete el formulario a continuación"
"order","pedido"
"quantity","cantidad"
"content of your cart","contenido de su carrito"
"product added to cart","producto agregado al carrito"
"exceeded the number of available products","se ha superado el número de productos disponibles"
"available","disponible"
"no longer in stock currently","actualmente no disponible"
"total order","Total del Pedido"
"decimal separator",","
"thousands separator","."
"in stock","en stock"
"cart","carrito"
"empty cart","carrito vacío"
"continue","continuar"
"checkout","pagar"
"currently not available","actualmente no disponible"
"products","productos"
"catalog","Catálogo"
"orders","Pedidos"
"you must accept the terms of purchase","Debe aceptar los términos de compra"
"confirm this order","Confirmar este pedido"
"customer data","Datos del cliente"
"authentication failure","Error de autenticación"
"complete your purchase","Complete su compra"
"operation not allowed","Operación no permitida"
"level","Nivel"
"group","Grupo"
"your cart is empty","Su carrito está vacío"
"new order","Nuevo pedido"
"pick up","Recogida"
"pick up in locker","Recogida en taquilla"
"the code is not valid","El código no es válido"
"the code is valid","El código es válido"
"discount","Descuento"
"enter coupon code if you have one","Ingrese el código de cupón si tiene uno"
"the entered code will be valid from","El código ingresado será válido desde"
"the code has expired","El código ha caducado"
"the code has been used for the maximum number of times possible","El código se ha utilizado el número máximo de veces posible"
"this code is only valid with a minimum spend of 1 euro","Este código solo es válido con una compra mínima de 1 euro"
"search","Buscar"
"password recovery","Recuperación de contraseña"
"Billing_Data","Datos de facturación"
"Delivery_address","Dirección de entrega"
"from","desde"
"pcs","uds"
"continue shopping","continuar comprando"
"back","atrás"
"modify","modificar"
"next","siguiente"
"username","nombre de usuario"
"password","contraseña"
"required fields","campos obligatorios"
"you skipped some fields or you made some error","ha omitido algunos campos o ha cometido algún error"
"My shopping cart","Mi carrito"
"View","Ver"
"Add to cart","Añadir al carrito"
"View my orders","Ver mis pedidos"
"Product","Producto"
"Quantity","Cantidad"
"Total","Total"
"Code","Código"
